ticker,name,companyCode,companyName,custodianCode,custodianName,indexTicker,indexName,indexStartDate,managerNames,establishDate,assetal,assetalName,manage,manageName,organizationform,organizationformName,investarea,investareaName,exchangemarket,exchangemarketName,assetalNet,nav,navUnit,navChange,navChange1w,navChange1m,navChange3m,navChange6m,navChange9m,navChangeYtd,navChange1y,navAnnualReturns2y,navAnnualReturns3y,navAnnualReturns5y,navAnnualReturns10y,navBeta3mJSW001,navBeta6mJSW001,navBeta9mJSW001,navBeta1yJSW001,navBeta2yJSW001,navBeta3yJSW001,navBeta5yJSW001,navBeta10yJSW001,navBeta15yJSW001,navBetaYtdJSW001,navBetaAllJSW001,navBeta2007JSW001,navBeta2015JSW001,trackingError,navBeta2008JSW001,navBeta2016JSW001,tradeAmount,tradeAmount3,tradeAmount5,tradeAmount10,tradeAmount30,pctOfFloat,pctOfStock,stkShares,isEnd,managerRatio,custodianRatio,salesRatio,totalFee,indexUsageRatio,pctOfNav
519706,交银价值联接,80064562,交银施罗德,80001120,农业银行,'399348,深证价值,2011-09-28,{'30705243': '邵文婷'},2011-09-28,Stock,股票,Index,传统指数型,ETFFeeder,ETF联接,Domestic,投资境内,Unlisted,未上市,0.66,2.118,人民币,0.9,-2.33,-3.45,-4.59,-8.54,-13.66,-8.74,-1.41,9.36,17.77,8.8,7.7,0.79,1.17,0.96,0.99,0.93,0.94,0.97,0.97,--,0.98,0.97,--,0.94,0.14,--,0.94,0.00,--,--,--,--,--,--,--,False,0.50,0.10,--,0.60,--,--
159913,交银深证价值,80064562,交银施罗德,80001120,农业银行,'399348,深证价值,2011-09-22,{'30705243': '邵文婷'},2011-09-22,Stock,股票,Index,传统指数型,ETF,ETF,Domestic,投资境内,SZSE,深交所上市,0.65,2.295,人民币,0.96,-2.45,-3.6,-4.85,-8.93,-14.22,-9.0,-1.22,9.83,19.04,9.48,8.58,0.84,1.24,1.03,1.06,0.99,1.01,1.04,1.02,--,1.05,1.02,--,0.99,0.09,--,1.01,114509.00,84357.33,62613.30,53706.09,500173.53,--,--,--,False,0.50,0.10,--,0.63,0.03,--
540012,汇丰恒生指数A,80067635,汇丰晋信,80093164,邮储银行,'HSI040,恒生A股行业龙头指数,2012-08-01,{'30165669': '方磊'},2012-08-01,Stock,股票,Index,传统指数型,OpenEnded,传统开放式,Domestic,投资境内,Unlisted,未上市,3.36,1.9369,人民币,0.68,-2.64,0.64,-5.73,-7.71,-14.99,-11.09,0.73,12.65,18.05,15.09,--,0.8,1.18,1.21,1.14,0.96,0.79,0.78,--,--,1.21,0.82,--,0.75,0.09,--,0.79,0.00,--,--,--,--,--,--,--,False,0.75,0.15,--,0.92,0.02,--
516400,富国ESG龙头,80000221,富国基金,10001303,华夏银行,'931476,ESG120策略,2021-06-16,{'30469323': '蔡卡尔'},2021-06-16,Stock,股票,Index,传统指数型,ETF,ETF,Domestic,投资境内,SHSE,上交所上市,0.12,0.9304,人民币,1.03,-2.31,-1.87,-5.31,--,--,--,--,--,--,--,--,0.96,--,--,--,--,--,--,--,--,--,0.95,--,--,0.07,--,--,502400.00,302956.33,388769.60,366285.80,847652.73,--,--,--,False,0.50,0.10,--,0.60,--,--
516720,浦银ESGETF,80091787,浦银安盛,10001303,华夏银行,'931476,ESG120策略,2021-07-22,"{'30065466': '陈士俊', '30586052': '高钢杰'}",2021-07-22,Stock,股票,Index,传统指数型,ETF,ETF,Domestic,投资境内,SHSE,上交所上市,2.23,0.9781,人民币,0.98,-2.21,-1.45,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.47,--,--,1.24,--,--,23198261.00,20051492.33,18954869.20,17961695.90,23653276.20,--,--,--,False,0.50,0.10,--,0.60,--,--
009194,泰达绩优指数A,80000238,泰达宏利,10000001,浦发银行,'931067,绩优策略,2020-07-17,"{'30561706': '刘洋', '30182148': '刘欣'}",2020-07-17,Stock,股票,EnhancedIndex,增强指数型,OpenEnded,传统开放式,Domestic,投资境内,Unlisted,未上市,1.15,1.1794,人民币,0.91,-1.97,2.28,-8.44,-1.43,-8.51,-3.71,10.64,--,--,--,--,1.07,1.18,1.54,1.38,--,--,--,--,--,1.52,1.23,--,--,0.24,--,--,0.00,--,--,--,--,--,--,--,False,1.00,0.10,--,1.12,0.02,--
159960,平安国企ETF,80168726,平安基金,80001122,中国银行,'HSI005,国企指数,2018-09-21,{'30138974': '钱晶'},2018-09-21,Stock,股票,Index,传统指数型,ETF,ETF,Developed,发达市场配置,SZSE,深交所上市,4.86,0.9197,人民币,0.7,-0.34,-0.42,-9.5,-14.73,-16.29,-11.16,-5.84,-5.94,-1.57,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.46,--,--,1107271.00,808100.10,1520218.66,1454298.59,1471639.24,--,--,--,False,0.50,0.10,--,0.64,0.04,--
513680,建信H股ETF,80065990,建信基金,80001069,兴业银行,'HSI005,国企指数,2018-12-13,"{'30718152': '吕鑫', '30583316': '龚佳佳'}",2018-12-13,Stock,股票,Index,传统指数型,ETF,ETF,Developed,发达市场配置,SHSE,上交所上市,0.29,0.8637,人民币,0.58,-0.32,-0.6,-9.76,-14.85,-16.26,-11.25,-5.97,-6.53,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.49,--,--,394284.00,431438.33,750866.60,494692.20,396817.73,--,--,--,False,0.50,0.10,--,0.64,0.04,--
005554,南方H股联接A,80000220,南方基金,80001067,工商银行,'HSI005,国企指数,2018-02-12,{'30332735': '孙伟'},2018-02-12,Stock,股票,Index,传统指数型,ETFFeeder,ETF联接,Developed,发达市场配置,Unlisted,未上市,0.77,0.8613,人民币,0.73,-0.28,0.56,-9.56,-14.91,-16.94,-11.7,-7.1,-7.12,-2.62,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.35,--,--,0.00,--,--,--,--,--,--,--,False,0.50,0.10,--,0.64,0.04,--
159954,南方恒生ETF,80000220,南方基金,80001067,工商银行,'HSI005,国企指数,2018-02-08,{'30332735': '孙伟'},2018-02-08,Stock,股票,Index,传统指数型,ETF,ETF,Developed,发达市场配置,SZSE,深交所上市,2.57,0.8739,人民币,0.78,-0.23,0.66,-9.98,-15.47,-17.71,-12.27,-7.32,-7.36,-2.54,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.34,--,--,17081011.00,14011509.37,12013971.78,16802065.54,15877867.73,--,--,--,False,0.50,0.10,--,0.64,0.04,--
968007,恒生中企指数,80105730,恒生投资,80106066,汇丰机构信托,'HSI005,国企指数,2016-02-29,{},2016-02-29,Stock,股票,Index,传统指数型,ETFFeeder,ETF联接,Developed,发达市场配置,Unlisted,未上市,--,1.4085,人民币,0.69,-0.2,0.28,-11.03,-16.09,-18.98,-12.93,-6.29,-4.75,-1.21,2.17,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.33,--,--,0.00,--,--,--,--,--,--,--,False,0.00,--,--,0.00,--,--
110031,易基恒生联接A,80000229,易方达基金,80001121,交通银行,'HSI005,国企指数,2012-08-21,"{'30066753': '余海燕', '30351914': '成曦'}",2012-08-21,Stock,股票,Index,传统指数型,ETFFeeder,ETF联接,Developed,发达市场配置,Unlisted,未上市,14.9,0.9976,人民币,0.64,-0.5,0.04,-11.38,-17.58,-20.15,-15.64,-12.13,-9.91,-4.55,-0.78,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.21,--,--,0.00,--,--,--,--,--,--,--,False,0.60,0.15,--,0.79,0.04,--
510900,H股ETF,80000229,易方达基金,80001121,交通银行,'HSI005,国企指数,2012-08-09,"{'30066753': '余海燕', '30351914': '成曦'}",2012-08-09,Stock,股票,Index,传统指数型,ETF,ETF,Developed,发达市场配置,SHSE,上交所上市,67.09,0.9939,人民币,0.68,-0.53,0.0,-12.01,-18.49,-21.39,-16.66,-12.77,-10.19,-4.52,-0.68,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.17,--,--,875114096.00,723383531.67,618001393.80,692485759.60,724423051.53,--,--,--,False,0.60,0.15,--,0.79,0.04,--
159823,嘉实H股50ETF,80000223,嘉实基金,10000020,招商银行,'HSI005,国企指数,2020-09-24,"{'30695579': '田光远', '30401026': '刘珈吟'}",2020-09-24,Stock,股票,Index,传统指数型,ETF,ETF,Developed,发达市场配置,SZSE,深交所上市,0.6,0.8736,人民币,0.78,-0.49,-0.22,-12.2,-18.41,-21.53,-16.99,-14.43,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.37,--,--,2151486.00,2397566.75,1629764.01,2273982.35,2873824.94,--,--,--,False,0.15,0.05,--,0.20,--,--
160717,嘉实H股指数,80000223,嘉实基金,80001068,建设银行,'HSI005,国企指数,2010-09-30,"{'30279466': '何如', '30401026': '刘珈吟'}",2010-09-30,Stock,股票,Index,传统指数型,LOF,LOF,Developed,发达市场配置,SZSE,深交所上市,2.27,0.6809,人民币,0.64,-0.51,0.01,-11.67,-17.83,-21.59,-17.15,-13.57,-10.69,-5.04,-1.72,0.23,--,--,--,--,--,--,--,--,--,--,--,--,--,0.19,--,--,1089421.00,501860.38,417515.54,604198.80,506398.64,--,--,--,False,0.75,0.25,--,1.04,0.04,--
161831,银华恒生中企,80000235,银华基金,80001068,建设银行,'HSI005,国企指数,2014-04-09,"{'30072182': '乐育涛', '30531104': '李宜璇'}",2014-04-09,Stock,股票,EnhancedIndex,增强指数型,LOF,LOF,Developed,发达市场配置,SZSE,深交所上市,2.87,0.7706,人民币,0.69,-0.47,0.59,-12.3,-18.69,-22.25,-18.22,-14.71,-10.41,-5.02,-1.33,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.21,--,--,2504047.00,1017613.12,1283952.89,914335.43,700814.77,--,--,--,False,1.00,0.28,--,1.32,0.04,--
481012,工银红利联接A,80064225,工银瑞信,80001120,农业银行,'399324,深证红利,2010-11-09,{'30136170': '赵栩'},2010-11-09,Stock,股票,Index,传统指数型,ETFFeeder,ETF联接,Domestic,投资境内,Unlisted,未上市,17.85,1.4862,人民币,1.5,-3.1,1.1,-7.79,-11.63,-18.91,-14.19,-3.31,10.71,21.62,13.93,10.8,0.94,1.31,1.34,1.25,1.12,1.02,1.04,0.96,--,1.34,0.96,--,0.92,0.13,--,0.99,0.00,--,--,--,--,--,--,--,False,0.50,0.10,--,0.60,--,--
159905,工银深证红利,80064225,工银瑞信,80001120,农业银行,'399324,深证红利,2010-11-05,{'30136170': '赵栩'},2010-11-05,Stock,股票,Index,传统指数型,ETF,ETF,Domestic,投资境内,SZSE,深交所上市,33.01,2.3711,人民币,1.59,-3.21,1.27,-8.17,-12.29,-19.97,-15.06,-3.45,11.19,22.94,14.49,11.42,0.99,1.39,1.42,1.32,1.18,1.09,1.11,1.01,--,1.42,1.02,--,0.97,0.08,--,1.05,31248901.00,41685675.60,40345098.06,43530407.96,43422971.04,--,--,--,False,0.50,0.10,--,0.63,0.03,--
